mse,mae,rmse,rse,mape,wape,smape,config,dataset,run
0.009844499097291131,0.05541428759540325,0.09921944918860985,0.09426273789172061,0.2621363107156254,0.11025887895288362,32.08257216627323,static_average,SDN,7
0.006663987160084609,0.04771473975121575,0.08163324788396337,0.06380880010011854,0.2364765164305677,0.09493893980753897,30.78319463491419,full_3branch,SDN,8
0.014630865512186059,0.06418614116754673,0.12095811470168531,0.1400930029323384,0.29317599316533893,0.1277124055282865,34.20248227450571,no_ml_branch,SDN,8
0.008092294347553979,0.05209253221111143,0.08995718063364358,0.07748508212429314,0.25303036938056644,0.10364951806924569,31.504138022150702,no_global_branch,SDN,8
0.009728390626873324,0.055038373896358524,0.09863260427907865,0.0931509797203969,0.26005286391005505,0.10951091620106902,32.007148048505236,static_average,SDN,8
0.006352219057309244,0.04675966052344389,0.07970080964023668,0.06082356797561157,0.23333708789224944,0.09303860021039062,30.63703160098544,full_3branch,SDN,9
0.014930573338444731,0.06481203187757448,0.12219072525541672,0.14296275587675103,0.29687733469735805,0.12895775236985463,34.33537692392183,no_ml_branch,SDN,9
0.008087336823097742,0.05188060475665698,0.0899296214998025,0.07743761299216242,0.25042270154970153,0.10322784191745439,31.455937613507523,no_global_branch,SDN,9
0.009857352472906073,0.055375647789890854,0.0992842005200529,0.09438581112933699,0.26246663332757314,0.11018199658511124,32.08499825509038,static_average,SDN,9
0.0008253071225499697,0.005394575375319782,0.028728159052573657,0.14823252079517557,1.0395477048907045,0.2568447828072828,77.54443926277922,full_3branch,GEANT,0
0.0007461721511087908,0.0054153486629997735,0.02731615183565926,0.13401917405519279,0.9887249245135518,0.2578338338801014,78.68594139568077,no_ml_branch,GEANT,0
0.0007489325637027076,0.005550314722433162,0.027366632304737598,0.1345149687794244,1.2632156468031515,0.2642597943699886,80.26011144262124,no_global_branch,GEANT,0
0.0007607513115533313,0.0054313829026746965,0.02758172060538159,0.13663772131441712,1.1221315178967,0.2585972509278317,78.05710296483561,static_average,GEANT,0
0.0008205572454918232,0.00545283172340926,0.028645370402419712,0.14737940050751733,1.1470516090963225,0.2596184652625586,79.70651776607568,full_3branch,GEANT,1
0.0007459823815156938,0.005406343909046228,0.027312678036320308,0.1339850897435633,0.9837126094200951,0.257405102439252,81.04926091140831,no_ml_branch,GEANT,1
0.0007494262361772499,0.005551583834298984,0.027375650424734204,0.13460363675931836,1.2649093084396719,0.26432021891480567,80.61543389595005,no_global_branch,GEANT,1
0.0007610300990795202,0.005426652124794018,0.027586773988263293,0.13668779404085327,1.1178303962444203,0.2583720106572385,78.03711466855191,static_average,GEANT,1
0.0007956871447417737,0.005431766856922387,0.02820792698412582,0.14291250857616045,1.1343401654907768,0.2586155316336325,78.58159472836181,full_3branch,GEANT,2
0.0007461662443752187,0.00540792218695984,0.027316043717478904,0.1340181131531563,0.9811821103658426,0.25748024689821825,83.1852193705587,no_ml_branch,GEANT,2
0.0007486550169843174,0.005544831523925915,0.027361560938373334,0.13446511891313667,1.2498575469632593,0.26399873009120844,79.94820294914433,no_global_branch,GEANT,2
